OpenX Id,Open X Name,OpenX Parent_category_id,OpenX Parent Category Name,IAB/ADF Category Name,IAB/ADF ID
1539,Toys,15,Hobbies & Interests,Hobbies & Interest,IAB9
1516,Trivia/Polls/Contests,15,Hobbies & Interests,Hobbies & Interest,IAB9
1540,Video & Computer Games,15,Hobbies & Interests,Hobbies & Interest,IAB9
1541,Women's Interests,15,Hobbies & Interests,Hobbies & Interest,IAB9
1542,Woodworking,15,Hobbies & Interests,Hobbies & Interest,IAB9
15,Hobbies & Interests,15,Hobbies & Interests,Hobbies & Interest,IAB9
1601,Aquariums,16,Pets,Pets,IAB16
1602,Birds,16,Pets,Pets,IAB16
1603,Cats,16,Pets,Pets,IAB16
1604,Dogs,16,Pets,Pets,IAB16
1605,Large Animals,16,Pets,Pets,IAB16
1606,Reptiles,16,Pets,Pets,IAB16
1607,Veterinary Medicine,16,Pets,Pets,IAB16
16,Pets,16,Pets,Pets,IAB16
1701,Appliances,17,Home & Garden,Home & Garden,IAB10
1708,Entertaining,17,Home & Garden,Home & Garden,IAB10
1709,Environmental Safety,17,Home & Garden,Home & Garden,IAB10
1710,Gardening,17,Home & Garden,Home & Garden,IAB10
1703,Home Improvement,17,Home & Garden,Home & Garden,IAB10
1704,Home Maintenance & Repair,17,Home & Garden,Home & Garden,IAB10
1702,Interior Decorating,17,Home & Garden,Home & Garden,IAB10
1705,Landscaping,17,Home & Garden,Home & Garden,IAB10
17,Home & Garden,17,Home & Garden,Home & Garden,IAB10
1801,3-D Graphics,18,Technology & Computing,Technology & Computing,IAB19
1802,Animation,18,Technology & Computing,Technology & Computing,IAB19
1803,Antivirus Software,18,Technology & Computing,Technology & Computing,IAB19
1804,C/C++,18,Technology & Computing,Technology & Computing,IAB19
1805,Computer Certification,18,Technology & Computing,Technology & Computing,IAB19
1806,Computer Networking,18,Technology & Computing,Technology & Computing,IAB19
1807,Data Centers,18,Technology & Computing,Technology & Computing,IAB19
1808,Databases,18,Technology & Computing,Technology & Computing,IAB19
1809,Desktop Publishing,18,Technology & Computing,Technology & Computing,IAB19
1810,Desktop Video,18,Technology & Computing,Technology & Computing,IAB19
1811,Email,18,Technology & Computing,Technology & Computing,IAB19
1812,Graphics Software,18,Technology & Computing,Technology & Computing,IAB19
1813,Internet Technology,18,Technology & Computing,Technology & Computing,IAB19
