ADFONIC,,,,,,OpenX Parent Category,,Publisher: Ad Attribute,
ID,NAME,PARENT_ID,CATEGORY_ORDER,IAB_ID,CHANNEL_ID,OpenX Parent Category,OpenX Parent Category ID,Open X Ad Attribute,OpenX Ad Attribute ID
162,Parenting Teens,156,5,IAB6-6,3,Family and Living,40007,,
288,Retirement Planning,53,9,IAB13-10,4,Family and Living,40007,,
154,Special Education,51,13,IAB5-14,4,Family and Living,40007,,
164,Special Needs Kids,156,7,IAB6-8,3,Family and Living,40007,,
296,Teens,291,5,IAB14-6,3,Family and Living,40007,,
297,Weddings,291,6,IAB14-7,3,Family and Living,40007,,
261,Appliances,260,0,IAB10-1,3,Electronics,7,,
372,Cameras & Camcorders,62,4,IAB19-5,4,Electronics,7,,
103,Electric Vehicle,48,9,IAB2-10,3,Electronics,7,,
141,7 - 12 Education,51,0,IAB5-1,4,Education,23,,
142,Adult Education,51,1,IAB5-2,4,Education,23,,
131,College,129,1,IAB4-2,4,Education,23,,
144,College Administration,51,3,IAB5-4,4,Education,23,,
145,College Life,51,4,IAB5-5,4,Education,23,,
159,Daycare/Pre School,156,2,IAB6-3,3,Education,23,,
146,Distance Learning,51,5,IAB5-6,4,Education,23,,
51,Education,,4,IAB5,4,Education,23,,
147,English as a 2nd Language,51,6,IAB5-7,4,Education,23,,
149,Graduate School,51,8,IAB5-9,4,Education,23,,
151,Homework/Study Tips,51,10,IAB5-11,4,Education,23,,
133,Job Fairs,129,3,IAB4-4,4,Education,23,,
134,Job Search,129,4,IAB4-5,4,Education,23,,
152,K-6 Educators,51,11,IAB5-12,4,Education,23,,
148,Language Learning,51,7,IAB5-8,4,Education,23,,
153,Private School,51,12,IAB5-13,4,Education,23,,
80,Productivity,385,4,ADF-032,4,Education,23,,
135,Resume Writing/Advice,129,5,IAB4-6,4,Education,23,,
137,Scholarships,129,7,IAB4-8,4,Education,23,,
155,Studying Business,51,14,IAB5-15,4,Education,23,,
327,Figure Skating,61,9,IAB17-10,4,"Culture, Leisure, Sport",40005,,
336,Inline Skating,61,18,IAB17-19,4,"Culture, Leisure, Sport",40005,,
340,Olympics,61,22,IAB17-23,4,"Culture, Leisure, Sport",40005,,
343,Pro Basketball,61,25,IAB17-26,4,"Culture, Leisure, Sport",40005,,
344,Pro Ice Hockey,61,26,IAB17-27,4,"Culture, Leisure, Sport",40005,,
346,Rugby,61,28,IAB17-29,4,"Culture, Leisure, Sport",40005,,
350,Scuba Diving,61,32,IAB17-33,4,"Culture, Leisure, Sport",40005,,
351,Skateboarding,61,33,IAB17-34,4,"Culture, Leisure, Sport",40005,,
353,Snowboarding,61,35,IAB17-36,4,"Culture, Leisure, Sport",40005,,
61,Sports,,16,IAB17,4,"Culture, Leisure, Sport",40005,,
354,Surfing/Bodyboarding,61,36,IAB17-37,4,"Culture, Leisure, Sport",40005,,
355,Swimming,61,37,IAB17-38,4,"Culture, Leisure, Sport",40005,,
357,Tennis,61,39,IAB17-40,4,"Culture, Leisure, Sport",40005,,
117,Advertising,74,0,IAB3-1,4,Corporate Sites,40013,,
